Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP15-3-Voltage_N,K0142,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Current_1,K0143,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Current_2,K0144,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Current_3,K0145,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Current_AVG,K0146,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_1,K0147,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_2,K0148,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_3,K0149,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_Factor_1,K0150,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_Factor_2,K0151,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_Factor_3,K0152,Float,1,R/W,100,,,,,,,,,,,
F2MP15-3-Power_Factor_Total,K0153,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-KWh,K0154,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Energy,K0155,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Voltage_1,K0156,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Voltage_2,K0157,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Voltage_3,K0158,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Voltage_N,K0159,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Current_1,K0160,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Current_2,K0161,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Current_3,K0162,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Current_AVG,K0163,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_1,K0164,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_2,K0165,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_3,K0166,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_Factor_1,K0167,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_Factor_2,K0168,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_Factor_3,K0169,Float,1,R/W,100,,,,,,,,,,,
F2MP15-4-Power_Factor_Total,K0170,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-KWh,K0171,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Energy,K0172,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Voltage_1,K0173,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Voltage_2,K0174,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Voltage_3,K0175,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Voltage_N,K0176,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Current_1,K0177,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Current_2,K0178,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Current_3,K0179,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Current_AVG,K0180,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_1,K0181,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_2,K0182,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_3,K0183,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_Factor_1,K0184,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_Factor_2,K0185,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_Factor_3,K0186,Float,1,R/W,100,,,,,,,,,,,
F2MP16-1-Power_Factor_Total,K0187,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-KWh,K0188,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Energy,K0189,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Voltage_1,K0190,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Voltage_2,K0191,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Voltage_3,K0192,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Voltage_N,K0193,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Current_1,K0194,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Current_2,K0195,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Current_3,K0196,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Current_AVG,K0197,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_1,K0198,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_2,K0199,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_3,K0200,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_Factor_1,K0201,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_Factor_2,K0202,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_Factor_3,K0203,Float,1,R/W,100,,,,,,,,,,,
F2MP16-2-Power_Factor_Total,K0204,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-KWh,K0205,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Energy,K0206,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Voltage_1,K0207,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Voltage_2,K0208,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Voltage_3,K0209,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Voltage_N,K0210,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Current_1,K0211,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Current_2,K0212,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Current_3,K0213,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Current_AVG,K0214,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_1,K0215,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_2,K0216,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_3,K0217,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_Factor_1,K0218,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_Factor_2,K0219,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_Factor_3,K0220,Float,1,R/W,100,,,,,,,,,,,
F2MP16-3-Power_Factor_Total,K0221,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-KWh,K0222,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Energy,K0223,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Voltage_1,K0224,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Voltage_2,K0225,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Voltage_3,K0226,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Voltage_N,K0227,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Current_1,K0228,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Current_2,K0229,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Current_3,K0230,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Current_AVG,K0231,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_1,K0232,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_2,K0233,Float,1,R/W,100,,,,,,,,,,,
